,network,step,path,train loss,train accuracy,test loss,test accuracy,train loss,train accuracy,test loss,test accuracy
0,complex_network,0,log/2020/02February/26Wednesday/run-10h03m48,1.3818733,0.51,1.3520079,0.52325,1.3818733,0.51,1.3520079,0.52325
1,complex_network,1,log/2020/02February/26Wednesday/run-10h03m48,0.98828346,0.5363125,0.9909626,0.53825,0.98828346,0.5363125,0.9909626,0.53825
2,complex_network,2,log/2020/02February/26Wednesday/run-10h03m48,0.9044051,0.546875,0.9139879999999999,0.53925,0.9044051,0.546875,0.9139879999999999,0.53925
3,complex_network,3,log/2020/02February/26Wednesday/run-10h03m48,0.83406943,0.560125,0.85384065,0.54825,0.83406943,0.560125,0.85384065,0.54825
4,complex_network,4,log/2020/02February/26Wednesday/run-10h03m48,0.80674917,0.567375,0.83124137,0.55525,0.80674917,0.567375,0.83124137,0.55525
5,complex_network,5,log/2020/02February/26Wednesday/run-10h03m48,0.7712435999999999,0.5796875,0.8027194999999999,0.56175,0.7712435999999999,0.5796875,0.8027194999999999,0.56175
6,complex_network,6,log/2020/02February/26Wednesday/run-10h03m48,0.7527786999999999,0.5885,0.7872814,0.5665,0.7527786999999999,0.5885,0.7872814,0.5665
7,complex_network,7,log/2020/02February/26Wednesday/run-10h03m48,0.7257059,0.6015,0.7656509,0.57675,0.7257059,0.6015,0.7656509,0.57675
8,complex_network,8,log/2020/02February/26Wednesday/run-10h03m48,0.71037316,0.609375,0.7512664000000001,0.58225,0.71037316,0.609375,0.7512664000000001,0.58225
9,complex_network,9,log/2020/02February/26Wednesday/run-10h03m48,0.68705016,0.622625,0.73149043,0.5905,0.68705016,0.622625,0.73149043,0.5905
10,complex_network,10,log/2020/02February/26Wednesday/run-10h03m48,0.67401403,0.6300625,0.72021055,0.59875,0.67401403,0.6300625,0.72021055,0.59875
11,complex_network,11,log/2020/02February/26Wednesday/run-10h03m48,0.6533509,0.64175,0.7015378000000001,0.60725,0.6533509,0.64175,0.7015378000000001,0.60725
12,complex_network,12,log/2020/02February/26Wednesday/run-10h03m48,0.64178514,0.650375,0.69105226,0.61475,0.64178514,0.650375,0.69105226,0.61475
13,complex_network,13,log/2020/02February/26Wednesday/run-10h03m48,0.6225988,0.6658125,0.6745204,0.6275,0.6225988,0.6658125,0.6745204,0.6275
14,complex_network,14,log/2020/02February/26Wednesday/run-10h03m48,0.61121047,0.672,0.6639873000000001,0.63475,0.61121047,0.672,0.6639873000000001,0.63475
15,complex_network,15,log/2020/02February/26Wednesday/run-10h03m48,0.59349275,0.68475,0.64776087,0.64725,0.59349275,0.68475,0.64776087,0.64725
16,complex_network,16,log/2020/02February/26Wednesday/run-10h03m48,0.5821841999999999,0.6928125,0.6375981,0.6535,0.5821841999999999,0.6928125,0.6375981,0.6535
17,complex_network,17,log/2020/02February/26Wednesday/run-10h03m48,0.56465757,0.7059375,0.6210171,0.6635,0.56465757,0.7059375,0.6210171,0.6635
18,complex_network,18,log/2020/02February/26Wednesday/run-10h03m48,0.5539884,0.7150625,0.61156607,0.672,0.5539884,0.7150625,0.61156607,0.672
19,complex_network,19,log/2020/02February/26Wednesday/run-10h03m48,0.53667104,0.7260625,0.5947220999999999,0.67925,0.53667104,0.7260625,0.5947220999999999,0.67925
20,complex_network,20,log/2020/02February/26Wednesday/run-10h03m48,0.5265225,0.7331875,0.58544326,0.68575,0.5265225,0.7331875,0.58544326,0.68575
0,real_network,0,log/2020/02February/26Wednesday/run-10h03m51,0.73311037,0.5038125,0.7318566,0.50175,0.73311037,0.5038125,0.7318566,0.50175
1,real_network,1,log/2020/02February/26Wednesday/run-10h03m51,0.7177604999999999,0.521375,0.71705043,0.52125,0.7177604999999999,0.521375,0.71705043,0.52125
2,real_network,2,log/2020/02February/26Wednesday/run-10h03m51,0.7098810000000001,0.5315,0.71009356,0.5305,0.7098810000000001,0.5315,0.71009356,0.5305
3,real_network,3,log/2020/02February/26Wednesday/run-10h03m51,0.6978159,0.547875,0.6996787,0.54625,0.6978159,0.547875,0.6996787,0.54625
4,real_network,4,log/2020/02February/26Wednesday/run-10h03m51,0.6912636999999999,0.555,0.69361913,0.5575,0.6912636999999999,0.555,0.69361913,0.5575
5,real_network,5,log/2020/02February/26Wednesday/run-10h03m51,0.68087304,0.5675625,0.6850316,0.568,0.68087304,0.5675625,0.6850316,0.568
6,real_network,6,log/2020/02February/26Wednesday/run-10h03m51,0.6751252,0.5739375,0.6802216,0.575,0.6751252,0.5739375,0.6802216,0.575
7,real_network,7,log/2020/02February/26Wednesday/run-10h03m51,0.66608787,0.586125,0.6728611,0.57675,0.66608787,0.586125,0.6728611,0.57675
8,real_network,8,log/2020/02February/26Wednesday/run-10h03m51,0.6611206999999999,0.593875,0.6686354,0.58425,0.6611206999999999,0.593875,0.6686354,0.58425
9,real_network,9,log/2020/02February/26Wednesday/run-10h03m51,0.65339965,0.60325,0.66260487,0.59375,0.65339965,0.60325,0.66260487,0.59375
10,real_network,10,log/2020/02February/26Wednesday/run-10h03m51,0.64856344,0.610375,0.6579316999999999,0.6,0.64856344,0.610375,0.6579316999999999,0.6
11,real_network,11,log/2020/02February/26Wednesday/run-10h03m51,0.6412816,0.6198125,0.6520364000000001,0.6065,0.6412816,0.6198125,0.6520364000000001,0.6065
12,real_network,12,log/2020/02February/26Wednesday/run-10h03m51,0.63706887,0.6248125,0.64870524,0.61025,0.63706887,0.6248125,0.64870524,0.61025
13,real_network,13,log/2020/02February/26Wednesday/run-10h03m51,0.6303865,0.633375,0.6426562,0.61575,0.6303865,0.633375,0.6426562,0.61575
14,real_network,14,log/2020/02February/26Wednesday/run-10h03m51,0.62645113,0.6388125,0.6401114999999999,0.6185,0.62645113,0.6388125,0.6401114999999999,0.6185
15,real_network,15,log/2020/02February/26Wednesday/run-10h03m51,0.6199635,0.6461875,0.634504,0.62375,0.6199635,0.6461875,0.634504,0.62375
16,real_network,16,log/2020/02February/26Wednesday/run-10h03m51,0.61625195,0.6508125,0.63158786,0.623,0.61625195,0.6508125,0.63158786,0.623
17,real_network,17,log/2020/02February/26Wednesday/run-10h03m51,0.61024004,0.6583125,0.62670535,0.632,0.61024004,0.6583125,0.62670535,0.632
18,real_network,18,log/2020/02February/26Wednesday/run-10h03m51,0.6065908,0.6614375,0.6234873000000001,0.6365,0.6065908,0.6614375,0.6234873000000001,0.6365
19,real_network,19,log/2020/02February/26Wednesday/run-10h03m51,0.6011268,0.6698125,0.6184143,0.64,0.6011268,0.6698125,0.6184143,0.64
20,real_network,20,log/2020/02February/26Wednesday/run-10h03m51,0.5974208000000001,0.6738125,0.6165050999999999,0.64325,0.5974208000000001,0.6738125,0.6165050999999999,0.64325
0,complex_network,0,log/2020/02February/26Wednesday/run-10h03m53,1.0994853,0.4895,1.1011921,0.4955,1.0994853,0.4895,1.1011921,0.4955
1,complex_network,1,log/2020/02February/26Wednesday/run-10h03m53,0.96484953,0.509625,0.96011686,0.502,0.96484953,0.509625,0.96011686,0.502
2,complex_network,2,log/2020/02February/26Wednesday/run-10h03m53,0.92672485,0.5176875,0.9245906999999999,0.509,0.92672485,0.5176875,0.9245906999999999,0.509
3,complex_network,3,log/2020/02February/26Wednesday/run-10h03m53,0.8806721,0.52975,0.88700217,0.51675,0.8806721,0.52975,0.88700217,0.51675
4,complex_network,4,log/2020/02February/26Wednesday/run-10h03m53,0.8561595999999999,0.5378125,0.8652139999999999,0.52625,0.8561595999999999,0.5378125,0.8652139999999999,0.52625
5,complex_network,5,log/2020/02February/26Wednesday/run-10h03m53,0.8212626000000001,0.54775,0.8366082,0.534,0.8212626000000001,0.54775,0.8366082,0.534
6,complex_network,6,log/2020/02February/26Wednesday/run-10h03m53,0.80193347,0.5563125,0.8234514000000001,0.539,0.80193347,0.5563125,0.8234514000000001,0.539
7,complex_network,7,log/2020/02February/26Wednesday/run-10h03m53,0.7730284000000001,0.5685,0.7981739999999999,0.55,0.7730284000000001,0.5685,0.7981739999999999,0.55
8,complex_network,8,log/2020/02February/26Wednesday/run-10h03m53,0.7570628,0.574875,0.78675354,0.5495,0.7570628,0.574875,0.78675354,0.5495
9,complex_network,9,log/2020/02February/26Wednesday/run-10h03m53,0.7334324999999999,0.58825,0.7674449000000001,0.564,0.7334324999999999,0.58825,0.7674449000000001,0.564
10,complex_network,10,log/2020/02February/26Wednesday/run-10h03m53,0.720155,0.59675,0.75517863,0.56825,0.720155,0.59675,0.75517863,0.56825
11,complex_network,11,log/2020/02February/26Wednesday/run-10h03m53,0.69964445,0.609875,0.73842335,0.581,0.69964445,0.609875,0.73842335,0.581
12,complex_network,12,log/2020/02February/26Wednesday/run-10h03m53,0.6882953,0.6169375,0.7302099,0.58175,0.6882953,0.6169375,0.7302099,0.58175
13,complex_network,13,log/2020/02February/26Wednesday/run-10h03m53,0.6701617,0.628375,0.7148129,0.59425,0.6701617,0.628375,0.7148129,0.59425
14,complex_network,14,log/2020/02February/26Wednesday/run-10h03m53,0.6599681,0.6330625,0.70601046,0.59875,0.6599681,0.6330625,0.70601046,0.59875
15,complex_network,15,log/2020/02February/26Wednesday/run-10h03m53,0.64335877,0.64675,0.69127685,0.6145,0.64335877,0.64675,0.69127685,0.6145
16,complex_network,16,log/2020/02February/26Wednesday/run-10h03m53,0.63405997,0.6521875,0.6842133,0.614,0.63405997,0.6521875,0.6842133,0.614
17,complex_network,17,log/2020/02February/26Wednesday/run-10h03m53,0.6191759,0.662625,0.67124325,0.62525,0.6191759,0.662625,0.67124325,0.62525
18,complex_network,18,log/2020/02February/26Wednesday/run-10h03m53,0.61078304,0.670375,0.6638086,0.633,0.61078304,0.670375,0.6638086,0.633
19,complex_network,19,log/2020/02February/26Wednesday/run-10h03m53,0.5970288,0.6791875,0.6526063,0.64025,0.5970288,0.6791875,0.6526063,0.64025
20,complex_network,20,log/2020/02February/26Wednesday/run-10h03m53,0.5887394,0.6849375,0.6438043999999999,0.64575,0.5887394,0.6849375,0.6438043999999999,0.64575
0,real_network,0,log/2020/02February/26Wednesday/run-10h03m56,0.7377998,0.513625,0.74641573,0.509,0.7377998,0.513625,0.74641573,0.509
1,real_network,1,log/2020/02February/26Wednesday/run-10h03m56,0.718897,0.5295,0.72840846,0.52175,0.718897,0.5295,0.72840846,0.52175
2,real_network,2,log/2020/02February/26Wednesday/run-10h03m56,0.7097799,0.53825,0.7206453,0.52775,0.7097799,0.53825,0.7206453,0.52775
3,real_network,3,log/2020/02February/26Wednesday/run-10h03m56,0.6957906,0.5535625,0.70793337,0.54025,0.6957906,0.5535625,0.70793337,0.54025
4,real_network,4,log/2020/02February/26Wednesday/run-10h03m56,0.688254,0.56325,0.6997111999999999,0.552,0.688254,0.56325,0.6997111999999999,0.552
5,real_network,5,log/2020/02February/26Wednesday/run-10h03m56,0.67629373,0.5781875,0.689135,0.5635,0.67629373,0.5781875,0.689135,0.5635
6,real_network,6,log/2020/02February/26Wednesday/run-10h03m56,0.66948867,0.583875,0.68342626,0.57,0.66948867,0.583875,0.68342626,0.57
7,real_network,7,log/2020/02February/26Wednesday/run-10h03m56,0.6588046999999999,0.599,0.6729267,0.5815,0.6588046999999999,0.599,0.6729267,0.5815
8,real_network,8,log/2020/02February/26Wednesday/run-10h03m56,0.65291405,0.606375,0.66800183,0.58975,0.65291405,0.606375,0.66800183,0.58975
9,real_network,9,log/2020/02February/26Wednesday/run-10h03m56,0.6435590999999999,0.618375,0.6585164000000001,0.60375,0.6435590999999999,0.618375,0.6585164000000001,0.60375
10,real_network,10,log/2020/02February/26Wednesday/run-10h03m56,0.6379617,0.62475,0.65338904,0.61175,0.6379617,0.62475,0.65338904,0.61175
11,real_network,11,log/2020/02February/26Wednesday/run-10h03m56,0.6292875,0.636375,0.646009,0.61925,0.6292875,0.636375,0.646009,0.61925
12,real_network,12,log/2020/02February/26Wednesday/run-10h03m56,0.6241401,0.639625,0.64117473,0.62525,0.6241401,0.639625,0.64117473,0.62525
13,real_network,13,log/2020/02February/26Wednesday/run-10h03m56,0.6160763000000001,0.6494375,0.6334871,0.63475,0.6160763000000001,0.6494375,0.6334871,0.63475
14,real_network,14,log/2020/02February/26Wednesday/run-10h03m56,0.61113125,0.654375,0.6291228,0.63575,0.61113125,0.654375,0.6291228,0.63575
15,real_network,15,log/2020/02February/26Wednesday/run-10h03m56,0.6034104,0.6641875,0.6228414000000001,0.6425,0.6034104,0.6641875,0.6228414000000001,0.6425
16,real_network,16,log/2020/02February/26Wednesday/run-10h03m56,0.59879297,0.6678125,0.6175861,0.6505,0.59879297,0.6678125,0.6175861,0.6505
17,real_network,17,log/2020/02February/26Wednesday/run-10h03m56,0.5911594,0.67775,0.6113972,0.65625,0.5911594,0.67775,0.6113972,0.65625
18,real_network,18,log/2020/02February/26Wednesday/run-10h03m56,0.58651024,0.6830625,0.6069791999999999,0.664,0.58651024,0.6830625,0.6069791999999999,0.664
19,real_network,19,log/2020/02February/26Wednesday/run-10h03m56,0.5792706,0.690125,0.6005305000000001,0.67075,0.5792706,0.690125,0.6005305000000001,0.67075
20,real_network,20,log/2020/02February/26Wednesday/run-10h03m56,0.5749166,0.695125,0.5963771999999999,0.6725,0.5749166,0.695125,0.5963771999999999,0.6725
